feature
line
batch_count
tray_no
position
temperature_1_mean
temperature_1_std
temperature_1_min
temperature_1_max
temperature_2_mean
temperature_2_std
temperature_2_min
temperature_2_max
temperature_3_mean
temperature_3_std
temperature_3_min
temperature_3_max
pressure_mean
pressure_std
pressure_min
pressure_max
maintenance_count_max
process_time_max
temperature_1_range
temperature_2_range
temperature_3_range
pressure_range
